,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,positions,"Ariana Grande",1541487,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
2,34+35,"Ariana Grande",1238839,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
3,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1138997,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
4,"Mood (feat. iann dior)",24kGoldn,1040191,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
5,Dakiti,"Bad Bunny",930730,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS
6,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",924504,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
7,"motive (with Doja Cat)","Ariana Grande",876986,https://open.spotify.com/track/5GkQIP5mWPi4KZLLXeuFTT
8,"WAP (feat. Megan Thee Stallion)","Cardi B",828822,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
9,"What You Know Bout Love","Pop Smoke",813770,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
10,"Laugh Now Cry Later (feat. Lil Durk)",Drake,790475,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
11,pov,"Ariana Grande",767035,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
12,"Lonely (with benny blanco)","Justin Bieber",719118,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
13,"Forever After All","Luke Combs",715942,https://open.spotify.com/track/6IBcOGPsniK3Pso1wHIhew
14,"off the table (with The Weeknd)","Ariana Grande",710972,https://open.spotify.com/track/7E1jVNoWuemqUryI4FxsVD
15,"just like magic","Ariana Grande",692653,https://open.spotify.com/track/7Dx9Z6Aon1qPS2N0rHSWTe
16,"Tyler Herro","Jack Harlow",669462,https://open.spotify.com/track/4DuUwzP4ALMqpquHU0ltAB
17,"Holy (feat. Chance The Rapper)","Justin Bieber",667758,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
18,"Come & Go (with Marshmello)","Juice WRLD",623426,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
19,"safety net (feat. Ty Dolla $ign)","Ariana Grande",606277,https://open.spotify.com/track/14gkWVFMwdxBMyqBw1wmIg
20,nasty,"Ariana Grande",595257,https://open.spotify.com/track/0sci7ppTZFm4mjcH3nu8yO
21,"Blinding Lights","The Weeknd",587485,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
22,"shut up","Ariana Grande",577763,https://open.spotify.com/track/3ko9jEHNt4O5fjKN65ULJp
23,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,575864,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
24,"Put Your Records On","Ritt Momney",570853,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
25,"Wishing Well","Juice WRLD",561239,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
26,"you broke me first","Tate McRae",548691,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
27,Heather,"Conan Gray",544987,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
28,"six thirty","Ariana Grande",542357,https://open.spotify.com/track/2IKJtXeR5UsaUjZB46fTOK
29,"my hair","Ariana Grande",530203,https://open.spotify.com/track/6u7gmPOz7pzzaeR9xSBpsR
30,obvious,"Ariana Grande",502406,https://open.spotify.com/track/0q85C1JiECyYIQthz1posA
31,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",497101,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
32,Dynamite,BTS,495513,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
33,"Watermelon Sugar","Harry Styles",493170,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
34,"POPSTAR (feat. Drake)","DJ Khaled",487303,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
35,"Dreams - 2004 Remaster","Fleetwood Mac",485644,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
36,"Mr. Right Now (feat. Drake)","21 Savage",483401,https://open.spotify.com/track/4Q34FP1AT7GEl9oLgNtiWj
37,"my ex's best friend (with blackbear)","Machine Gun Kelly",475885,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
38,"Martin & Gina","Polo G",473140,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
39,"Blueberry Faygo","Lil Mosey",470013,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
40,"west side","Ariana Grande",469972,https://open.spotify.com/track/1whfVLMKWqAX3uk97VXsNN
41,Wonder,"Shawn Mendes",466848,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
42,Sofia,Clairo,464089,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
43,"love language","Ariana Grande",463845,https://open.spotify.com/track/6NYtLvyThMT0oALFdJFdzq
44,"SO DONE","The Kid LAROI",459990,https://open.spotify.com/track/5psEZhQu6lukjhavJo4AbC
45,"Moonwalking in Calabasas (feat. Blueface) - Remix",DDG,459601,https://open.spotify.com/track/7o4gBbTM6UBLkOYPw9xMCz
46,"Be Like That - feat. Swae Lee & Khalid","Kane Brown",458337,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ
47,PRACTICE,DaBaby,449626,https://open.spotify.com/track/4Z5FyQlevoHoa5FsIVKZju
48,"All Girls Are The Same","Juice WRLD",444510,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
49,"Levitating (feat. DaBaby)","Dua Lipa",435275,https://open.spotify.com/track/6OqrJqDMu15AGJHJazg9Nr
50,"Lucid Dreams","Juice WRLD",416902,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
51,"24 (feat. Lil Baby)","Money Man",402476,https://open.spotify.com/track/0xUvi7wldroBzaZCengPa5
52,Robbery,"Juice WRLD",399892,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
53,Runnin,"21 Savage",398204,https://open.spotify.com/track/5SWnsxjhdcEDc7LJjq9UHk
54,"Spicy (feat. Post Malone)","Ty Dolla $ign",395014,https://open.spotify.com/track/5IUtvfNvOyVYZUa6AJFrnP
55,"Mood Swings (feat. Lil Tjay)","Pop Smoke",391900,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
56,Circles,"Post Malone",377755,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
57,Daisy,Ashnikko,375036,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
58,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",370210,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
59,"The Box","Roddy Ricch",370168,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
60,Golden,"Harry Styles",365841,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
61,"E-GIRLS ARE RUINING MY LIFE!",CORPSE,365121,https://open.spotify.com/track/7bCfHiRcfUjG0YVVNUL7Ve
62,"Someone You Loved","Lewis Capaldi",361181,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
63,"Before You Go","Lewis Capaldi",360532,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
64,"Go Crazy","Chris Brown",348526,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
65,"Smile (with The Weeknd)","Juice WRLD",346434,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
66,"Sweater Weather","The Neighbourhood",341664,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
67,"Savage Love (Laxed - Siren Beat)","Jawsh 685",340000,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
68,"Midnight Sky","Miley Cyrus",339390,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
